Age,Gender,Tenure/Duration/Ageing,Qualification,Current Occupation/Job,Agency Type,Interim Number of Policies issued,Number of policies rated up,First Years Premium,Renewal Premium,Commission Clawback, Product Type=Risk,Avg TAT for Risk Product, Product Type=Investment,Avg TAT for Investment Product, Product Type=Annuity,Avg TAT for Annuity Product,Renewal commission,Deviation from target policies,Training & DevelopmentRandom NumberMe,Agency Portal usage,Unit Manager,Quotes requested,Agency survery-Satisfaction,No Policy Cancellation-FLC ,Number of Compliants received,Number of Claims Declined,Hit Ratio,Number of policies declined,Label
42,1,14,Post Graduate,Doctor,Independent,537,0,98622,90721,0,105,8,101,3,156,0,6805,-143,1,High,MarionPablo,509,4,0,3,1,1.199592668,2,2
55,1,2,Post Graduate,Business,Independent,294,0,76767,99029,0,69,7,65,1,90,2,7428,-102,3,Medium,PabloChelsea,424,5,0,0,2,0.92185008,2,1
59,1,18,Graduate,Pilot,Captive,643,0,86466,88375,9916,84,9,84,3,95,0,6629,-316,1,High,LorenzoJohanna,469,5,0,0,0,3.483516484,2,2
24,2,5,Post Graduate,Engineer,Independent,569,0,68991,88807,0,102,11,108,1,118,2,6661,-319,4,Low,DomenicHerman,368,8,0,1,1,0.504065041,0,1
26,1,7,Post Graduate,Engineer,Independent,150,0,74452,91474,6855,36,9,38,0,56,2,6861,16,6,High,PabloChelsea,565,3,0,1,0,0.572687225,1,2
34,2,7,Graduate,Business,Captive,559,11,90450,80158,5757,113,7,109,4,120,1,6012,-244,6,High,AmyShaun,449,7,3,3,1,1.045028143,2,1
43,2,16,Post Graduate,Proffessor,Captive,370,8,68514,93872,0,68,7,78,4,90,1,7041,-94,4,Medium,ChandraDante,236,5,2,4,0,1.788235294,2,2
23,1,3,Graduate,Driver,Captive,179,0,74992,89676,0,59,9,59,1,61,0,6726,45,2,Medium,HarveyMelisa,387,10,2,1,2,0.447741935,0,2
30,1,7,Post Graduate,Engineer,Independent,303,9,50057,92559,0,93,9,96,4,102,1,6942,52,5,Low,VickieMai,347,6,0,1,2,0.669218989,0,2
28,1,3,Graduate,Architect,Captive,154,0,74737,78593,7695,45,11,46,2,63,1,5895,-83,5,Low,MayraAbram,509,5,2,0,0,0.280701754,1,1
53,1,4,Post Graduate,Driver,Captive,276,0,76280,82964,5121,34,8,36,0,50,2,6223,-60,1,Medium,ChandraDante,370,8,0,3,0,0.185758514,0,2
29,1,11,Graduate,Architect,Independent,194,6,50255,82987,0,56,7,62,0,76,2,6225,-80,6,High,VickieMai,477,9,0,0,1,1.179916318,2,1
22,1,0,Graduate,Proffessor,Independent,154,5,65932,75182,7332,49,11,48,1,57,2,5639,-34,6,Low,KeriLamont,465,8,0,5,0,1.5,0,1
39,1,2,Post Graduate,Software Developer,Captive,437,0,69150,77314,6062,90,7,87,2,104,0,5799,-225,2,Medium,DebraCollin,528,5,3,4,1,0.777777778,0,1
32,1,6,Graduate,Doctor,Captive,371,6,74217,88197,0,56,7,56,1,63,2,6615,-114,2,High,BusterNadia,175,10,0,4,0,0.69924812,0,2
59,1,10,Post Graduate,Consultant,Captive,189,4,83027,92418,5628,41,6,38,1,44,0,6932,-165,3,Low,ClaudioSherwood,128,7,0,5,0,1.580547112,1,1
42,1,8,Graduate,Pensioner,Independent,145,5,93862,98439,0,44,9,46,2,55,0,7383,-77,5,Low,LoreneIsiah,256,1,0,0,0,0.445544554,0,1
22,1,1,Post Graduate,Proffessor,Independent,606,0,55536,93692,8660,69,8,76,3,101,0,7027,-431,3,Medium,SpencerJarod,339,2,0,1,0,0.439285714,0,1
55,2,35,Post Graduate,Doctor,Captive,519,0,67504,91515,0,63,7,71,3,82,2,6864,-314,6,Low,TracieSasha,334,3,0,1,0,0.26405868,2,1
45,1,18,Graduate,Architect,Captive,606,0,54557,83043,6768,144,11,135,3,186,1,6229,-106,3,Medium,DomenicHerman,534,7,0,0,0,0.570379437,0,2
32,1,2,Graduate,Consultant,Independent,192,6,96751,97675,0,57,8,52,1,70,1,7326,36,4,High,LouellaJosue,289,4,0,5,0,0.227445997,0,2
45,1,15,Post Graduate,Teacher,Independent,373,0,53021,97054,8975,55,8,53,1,63,2,7280,-140,2,High,CasandraPaulette,186,5,0,0,0,0.624087591,0,2
38,1,1,Post Graduate,Business,Captive,222,0,78583,93461,8223,63,8,65,1,69,0,7010,61,3,Low,PollyGene,366,3,0,5,0,0.317666126,1,2
48,1,20,Post Graduate,Business,Independent,137,0,97806,79943,7428,42,11,40,2,55,0,5996,-60,1,Medium,ChandraDante,466,4,1,1,0,0.883008357,0,1
41,1,14,Post Graduate,Software Developer,Captive,314,7,59101,92656,0,61,10,59,1,90,1,6950,-9,1,High,JacquelynLonny,416,10,0,0,1,0.63253012,0,2
43,1,11,Post Graduate,Engineer,Independent,299,9,99303,87042,7547,99,11,87,1,114,2,6529,25,1,High,HymanRory,599,3,0,0,2,0.663507109,3,2
54,1,6,Graduate,Teacher,Independent,352,5,82208,97599,7572,46,8,42,0,61,0,7320,-171,6,High,DorisTristan,149,8,0,1,0,0.718826406,0,2
31,1,11,Graduate,Teacher,Independent,572,0,58098,86453,0,35,9,35,3,55,1,6484,-365,3,High,BrandiSharlene,240,10,0,0,0,0.99127907,0,2
59,1,24,Post Graduate,Pensioner,Independent,127,0,82041,75671,0,42,11,37,2,48,0,5676,22,2,High,BrandiSharlene,473,10,0,0,0,0.739130435,0,2
55,1,27,Post Graduate,Business,Captive,469,0,57338,95055,7356,43,9,46,4,54,0,7130,-362,5,Low,DebraCollin,143,4,0,0,1,1.571428571,1,1
34,1,14,Graduate,Pensioner,Captive,579,0,73693,98678,8521,115,6,111,4,122,0,7401,-144,4,Low,AhmedMisty,583,8,0,4,0,2.676923077,2,2
23,1,3,Post Graduate,Architect,Independent,368,11,78265,90522,0,112,9,112,2,138,2,6790,85,3,Low,AmyShaun,536,4,4,0,0,1.108108108,0,2
43,1,5,Graduate,Teacher,Independent,181,0,53871,86355,0,56,9,60,1,65,0,6477,-61,6,High,DavidLuella,375,4,0,2,1,0.746527778,0,1
26,1,2,Post Graduate,Pilot,Captive,479,0,88377,97387,0,115,6,119,3,163,1,7305,-27,6,Medium,AnitaMarshall,473,3,0,0,0,1.738255034,2,2
49,1,28,Graduate,Business,Independent,177,0,60336,90879,0,51,8,50,0,76,1,6816,71,6,High,MavisJanelle,195,10,0,4,0,1.465703971,1,2
50,1,31,Post Graduate,Pilot,Independent,461,5,71430,92161,5003,41,11,41,2,59,2,6913,-410,4,Low,BrandiSharlene,141,6,0,5,0,1.881773399,1,1
24,2,1,Post Graduate,Pensioner,Independent,185,0,54310,87267,6638,59,6,61,3,65,1,6546,47,3,High,HarveyMelisa,361,2,0,5,0,1.067146283,0,2
45,2,22,Post Graduate,Pensioner,Captive,282,7,72506,83109,0,67,8,69,3,73,0,6234,-101,5,High,PrinceWill,209,2,0,0,0,1.111827957,2,1
58,1,26,Graduate,Pensioner,Captive,267,0,72072,95510,9316,75,9,75,1,117,1,7164,-44,4,Low,DarrylErnie,556,5,0,0,2,2.731132075,0,1
43,1,8,Post Graduate,Pensioner,Captive,393,0,63529,96789,8483,67,8,77,2,88,2,7260,-170,6,Low,JacquelynLonny,578,2,0,0,1,0.391472868,0,1
40,2,0,Graduate,Driver,Captive,291,9,85287,83034,0,81,7,87,1,121,1,6228,26,4,Low,WilburErnestine,456,9,0,5,0,0.358116481,0,2
23,1,1,Graduate,Proffessor,Independent,300,7,91066,83976,0,66,9,68,0,79,2,6299,-137,3,Medium,AdrienneElliott,354,6,0,0,2,0.833333333,2,1
32,1,7,Post Graduate,Driver,Independent,299,0,85117,85384,0,99,10,96,1,105,1,6404,-24,1,High,MontyBuddy,496,2,0,3,4,0.562715765,0,1
44,1,23,Post Graduate,Business,Captive,590,13,74344,96109,0,126,9,122,2,159,0,7209,-212,6,Low,MickeyMargret,533,1,0,0,2,0.737785016,3,1
29,1,2,Post Graduate,Software Developer,Independent,507,0,74858,97602,0,68,8,68,1,106,0,7321,-244,4,High,DiegoJane,242,5,0,5,1,0.823529412,2,2
40,1,19,Post Graduate,Software Developer,Captive,497,0,50253,83816,5371,70,11,77,2,87,1,6287,-200,3,High,TwilaBradley,234,9,0,2,1,3.279220779,0,2
55,1,20,Post Graduate,Pilot,Independent,280,0,50616,93377,5182,36,10,42,4,50,1,7004,-69,3,Low,TracieSasha,344,7,1,1,0,0.428093645,1,2
47,1,19,Post Graduate,Consultant,Captive,547,11,99229,89598,7161,115,11,115,0,130,2,6720,-98,2,Medium,JacquelynLonny,534,5,0,0,0,1.285714286,0,2
50,2,12,Post Graduate,Proffessor,Captive,262,8,79375,83221,0,79,11,76,4,107,0,6242,87,3,Low,DomenicHerman,525,6,3,0,1,0.670520231,2,2
53,2,17,Graduate,Pilot,Captive,361,0,87064,92373,0,108,11,112,3,119,0,6928,50,4,Medium,MavisJanelle,570,8,3,0,2,0.963068182,2,2
29,1,5,Post Graduate,Pensioner,Independent,531,0,93155,89545,5575,63,11,55,2,78,0,6716,-263,6,Medium,MarionPablo,331,10,2,1,0,0.505154639,0,2
31,1,5,Graduate,Consultant,Independent,289,9,61106,99519,7729,82,9,79,3,112,2,7464,76,1,Medium,PabloChelsea,273,8,0,4,0,0.518888889,0,2
56,1,4,Graduate,Pilot,Captive,231,6,55457,84347,5807,54,6,56,4,83,0,6327,48,3,Low,CasandraPaulette,249,8,0,4,1,0.476426799,1,2
42,1,5,Graduate,Doctor,Captive,347,6,92423,75421,7946,55,7,61,3,81,0,5657,-204,4,High,CasandraPaulette,644,9,0,2,0,0.322268326,1,1
22,2,1,Graduate,Business,Captive,573,6,86502,87329,0,56,9,56,0,75,0,6550,-431,2,Low,MagdalenaCarmen,331,7,2,1,2,0.260083449,1,1
30,1,7,Post Graduate,Proffessor,Independent,427,0,61328,80755,7819,93,7,87,1,130,2,6057,-144,2,Medium,MarionPablo,309,4,3,0,1,1.455882353,2,1
31,2,2,Graduate,Consultant,Independent,240,8,52553,93278,8633,67,11,74,3,98,2,6996,-4,4,Low,HarveyMelisa,298,10,2,5,0,1.805309735,0,1
60,2,34,Post Graduate,Consultant,Captive,506,6,91081,98913,0,51,11,58,1,67,0,7419,-278,1,High,PrinceWill,318,8,0,5,0,0.365344468,0,2
55,1,26,Post Graduate,Doctor,Independent,206,0,72274,91242,7063,47,9,54,0,62,0,6844,-65,3,High,MarcAlec,318,9,0,4,1,0.289007092,0,1
43,2,5,Post Graduate,Teacher,Captive,590,11,97614,86855,0,104,11,97,2,134,1,6515,-298,2,Low,ChandraDante,336,7,0,4,4,0.615979381,0,1
24,1,1,Graduate,Engineer,Independent,233,0,61907,78727,7025,51,11,53,1,73,0,5905,-117,2,High,BillyJerry,487,10,2,0,0,0.656164384,1,1
57,1,19,Graduate,Teacher,Captive,334,0,59408,97388,8173,107,7,107,3,120,1,7305,98,3,Low,AlphonsoTasha,346,3,3,4,0,1.83,0,2
59,1,15,Post Graduate,Engineer,Independent,501,0,99359,97103,0,110,11,117,2,128,2,7283,-242,2,Low,MarionPablo,476,2,0,4,3,0.959459459,0,1
23,1,3,Post Graduate,Architect,Independent,487,0,93024,91370,7941,99,7,109,2,122,1,6853,-134,5,High,WilburErnestine,329,6,0,0,0,1.438461538,2,2
45,2,3,Post Graduate,Driver,Captive,544,10,83291,91296,7303,85,8,85,4,133,2,6848,-146,1,High,ClaudioSherwood,574,6,3,1,0,0.447562777,2,2
31,1,2,Graduate,Business,Independent,291,0,93604,77153,0,56,11,58,2,73,1,5787,-77,3,Low,DomenicHerman,186,6,0,2,0,0.988352745,0,2
34,1,11,Graduate,Proffessor,Independent,134,5,78408,96140,0,38,10,38,1,59,2,7211,-27,6,High,DavidLuella,292,8,1,0,1,0.37388724,0,1
38,1,4,Post Graduate,Teacher,Independent,585,0,80265,96816,0,75,9,77,1,97,1,7262,-368,3,High,TwilaBradley,249,8,0,0,0,2.853846154,0,1
35,1,3,Graduate,Software Developer,Captive,588,6,75620,96417,0,62,9,58,4,68,2,7232,-375,3,Low,LoreneIsiah,392,4,0,5,0,0.313856427,1,2
40,1,11,Post Graduate,Pilot,Independent,576,15,99738,88611,0,136,8,140,0,192,1,6646,-130,4,Medium,KristopherRolando,468,4,5,0,2,0.756919374,3,1
57,1,12,Graduate,Software Developer,Independent,628,11,70928,92071,0,94,11,100,4,140,0,6906,-325,6,High,TwilaBradley,383,10,3,5,0,0.935389134,0,1
48,1,10,Graduate,Software Developer,Independent,369,12,51167,88239,0,107,6,122,4,140,0,6618,67,6,Low,LorenzoJohanna,538,8,4,4,0,0.540332907,0,2
48,1,27,Post Graduate,Proffessor,Captive,602,5,82443,91663,5438,47,6,44,0,60,2,6875,-419,4,Low,PollyGene,614,1,2,0,0,0.712389381,1,2
21,2,1,Post Graduate,Software Developer,Captive,252,6,68236,96140,0,55,11,48,4,69,1,7211,-29,1,Low,JohnathanLydia,544,9,0,2,0,0.933884298,0,2
26,2,3,Graduate,Architect,Independent,563,0,85312,87531,0,95,7,95,0,98,2,6565,-284,6,Low,LorenzoJohanna,287,6,0,5,0,1.171814672,0,1
40,2,19,Graduate,Engineer,Independent,635,5,78278,99744,0,52,7,50,3,60,1,7481,-408,3,Low,ChandraDante,516,8,0,0,1,0.649513213,1,2
41,1,13,Graduate,Driver,Independent,187,6,67048,88908,0,52,11,62,4,73,2,6669,43,3,High,KristopherRolando,639,2,2,5,0,1.800796813,2,2
56,2,26,Post Graduate,Engineer,Independent,545,0,86356,90238,0,45,6,45,0,55,1,6768,-328,3,High,KimberlyCasandra,349,5,0,0,0,1.20718232,0,2
51,1,26,Graduate,Teacher,Independent,384,0,68787,79281,0,56,7,54,3,59,0,5947,-296,3,Low,DeandreAimee,286,8,2,5,0,1.384120172,0,1
42,1,16,Post Graduate,Doctor,Captive,491,4,54341,99956,0,41,9,41,1,50,2,7497,-387,5,Low,DorisTristan,131,8,1,1,0,1.077634011,1,1
43,1,10,Post Graduate,Driver,Captive,363,0,59092,97165,0,57,9,57,3,59,1,7288,-140,3,High,AhmedMisty,602,6,2,1,1,0.342857143,1,2
49,1,1,Graduate,Business,Captive,626,0,56918,84009,0,85,7,90,2,99,1,6301,-317,6,Medium,DebraCollin,519,10,0,5,1,1.630952381,2,2
35,1,3,Post Graduate,Consultant,Independent,485,0,87162,89236,0,129,8,120,2,181,2,6693,-109,3,Low,LorenzoJohanna,430,8,0,5,0,5.408333333,3,1
34,1,7,Graduate,Consultant,Captive,575,0,73273,97522,5297,107,10,97,4,141,1,7315,-253,5,Low,CasandraPaulette,345,7,0,1,0,1.099365751,2,1
29,1,9,Post Graduate,Driver,Captive,377,0,66735,84515,5087,81,6,74,2,91,0,6339,-87,2,High,WilburErnestine,544,4,0,0,0,0.86013986,2,2
57,1,39,Post Graduate,Consultant,Captive,492,11,68130,87695,0,105,11,108,2,136,0,6578,-93,3,Medium,DorisTristan,463,10,3,1,1,1.068100358,2,2
43,1,16,Post Graduate,Pilot,Captive,328,9,86334,85774,8662,83,7,77,4,107,1,6434,-152,3,Low,AlphonsoTasha,400,7,0,4,0,0.608630952,2,1
47,2,22,Graduate,Consultant,Independent,533,11,67011,94169,0,105,8,108,1,136,0,7063,-141,4,Low,MyronPhil,349,5,0,0,0,0.599667774,0,2
51,1,23,Post Graduate,Pensioner,Independent,187,0,67074,90667,0,54,8,56,1,77,0,6801,-49,6,Medium,DavidLuella,216,2,0,4,1,0.532857143,0,1
47,2,21,Graduate,Proffessor,Captive,499,11,60854,79294,6817,116,6,109,2,126,2,5948,-52,1,Low,DebraCollin,579,10,0,0,1,0.607266436,0,2
53,1,34,Post Graduate,Pensioner,Independent,131,4,77879,76997,0,38,6,43,0,50,2,5775,73,1,High,MickeyMargret,203,9,0,0,0,0.636932707,2,2
59,1,26,Graduate,Business,Independent,179,0,93098,75987,6636,57,9,55,0,66,1,5700,-6,3,Low,KristopherRolando,434,6,0,0,1,0.836676218,2,1
42,1,14,Graduate,Business,Captive,475,13,74892,98025,0,130,6,130,0,147,0,7352,-30,5,Low,MagdalenaCarmen,462,10,4,4,3,0.67404674,0,2
24,1,3,Graduate,Pensioner,Independent,216,7,72308,94274,0,65,11,60,1,91,2,7071,-50,6,Low,PollyGene,280,3,2,0,0,2.006493506,0,1
37,1,15,Graduate,Pensioner,Independent,391,0,75208,91964,0,109,10,125,0,156,0,6898,20,2,High,ClaudioSherwood,643,5,0,2,0,0.635778636,3,2
48,1,23,Graduate,Teacher,Captive,595,0,69495,90010,0,90,10,102,4,128,2,6751,-287,3,Low,DomenicHerman,435,7,0,4,1,1.23690205,0,1
45,1,16,Post Graduate,Software Developer,Captive,135,0,97268,81549,9348,43,10,38,3,54,1,6117,20,3,Low,JudyAlden,538,10,0,5,0,0.634328358,1,2
56,1,3,Post Graduate,Software Developer,Captive,131,0,80475,99900,0,41,7,43,4,47,2,7493,-48,4,Low,SpencerJarod,593,10,1,5,0,0.364754098,0,1
48,1,21,Graduate,Engineer,Independent,514,12,96339,82999,0,110,10,126,1,158,1,6225,-143,6,High,KeriLamont,472,9,0,0,1,0.854197349,0,1
59,2,13,Post Graduate,Doctor,Independent,553,9,57872,87512,5710,92,11,89,1,115,1,6564,-199,5,Medium,PollyGene,517,9,3,0,0,0.980802792,0,2
58,1,11,Post Graduate,Proffessor,Captive,500,15,59781,80063,0,157,7,152,4,182,2,6005,23,5,High,JohnathanLydia,491,2,0,0,1,1.109227872,0,2
56,2,21,Post Graduate,Pensioner,Independent,194,6,60498,82642,7958,64,9,64,0,66,2,6199,95,6,Low,DorisTristan,216,1,2,0,0,0.478747204,2,2
36,1,0,Graduate,Consultant,Independent,286,5,61883,96153,0,46,9,46,2,73,0,7212,-79,6,Medium,JohnathanLydia,329,5,0,0,0,0.774647887,0,2
23,1,0,Graduate,Architect,Captive,527,0,96329,78236,5098,124,8,128,1,161,2,5868,-202,1,Medium,MyronPhil,413,1,0,3,5,1.103383459,3,1
50,2,30,Graduate,Business,Independent,487,0,96399,84888,0,101,7,92,1,113,0,6367,-97,1,High,MarionPablo,415,6,0,5,3,0.616766467,2,2
42,1,19,Post Graduate,Teacher,Captive,201,0,90415,87548,7453,38,9,39,2,49,2,6567,-93,4,Medium,MarcAlec,523,3,1,0,0,0.174757282,0,1
33,1,7,Post Graduate,Pensioner,Independent,400,11,91295,86498,0,107,11,97,1,142,0,6488,-86,6,Medium,MontyBuddy,378,1,0,0,0,0.703939009,2,1
20,1,1,Graduate,Software Developer,Independent,131,0,67193,75127,0,39,7,41,1,51,0,5635,-8,3,High,JohnathanLydia,542,3,1,3,0,0.72168906,0,1
22,2,1,Post Graduate,Business,Captive,131,0,60858,96503,6635,41,7,37,2,54,1,7238,46,2,High,MagdalenaCarmen,467,10,0,0,1,0.555555556,2,2
57,1,24,Post Graduate,Teacher,Independent,470,0,61830,78540,0,62,7,56,1,82,0,5891,-218,5,High,JacquelynLonny,617,10,0,0,0,1.602112676,0,2
49,1,15,Graduate,Doctor,Independent,218,7,59720,76126,0,68,6,68,0,83,1,5710,-47,2,High,RobertoJeremy,593,3,0,4,2,0.578199052,0,1
46,2,20,Post Graduate,Consultant,Captive,252,0,99766,83101,8867,49,6,54,3,66,1,6233,-181,6,Low,DebraCollin,542,2,2,0,1,0.649842271,1,1
21,1,0,Graduate,Engineer,Captive,280,0,63603,91722,5743,64,8,60,4,83,1,6880,-32,1,Low,LouellaJosue,208,5,0,0,1,0.568760611,2,2
37,1,4,Post Graduate,Software Developer,Captive,313,0,70864,89555,0,56,8,58,1,73,2,6717,-148,4,High,MavisJanelle,188,10,0,0,2,0.82345191,0,1
50,2,22,Graduate,Consultant,Captive,645,0,75508,76587,0,100,8,111,4,135,2,5745,-236,4,Medium,MavisJanelle,390,10,0,0,0,0.65654649,2,2
28,1,8,Graduate,Teacher,Captive,281,0,81422,98005,5177,36,6,35,0,50,2,7351,-129,6,Low,KristopherRolando,315,4,0,0,1,0.856164384,1,2
56,1,12,Post Graduate,Teacher,Captive,433,8,89399,95513,5313,74,8,71,2,101,1,7164,-188,6,Medium,LouellaJosue,246,7,0,0,2,0.743276284,2,1
37,1,10,Graduate,Consultant,Independent,601,0,89556,87496,7897,68,10,59,2,78,0,6563,-325,5,Medium,MagdalenaCarmen,408,9,0,0,0,0.367383513,2,2
44,1,21,Post Graduate,Teacher,Independent,593,10,87125,78808,0,95,7,98,1,124,2,5911,-310,5,Low,AhmedMisty,523,4,3,2,0,0.411363636,2,1
37,1,4,Post Graduate,Software Developer,Captive,413,0,87206,83505,7231,55,8,55,3,68,1,6263,-278,3,High,DorisTristan,178,7,0,3,0,0.652223489,0,1
29,1,8,Post Graduate,Engineer,Independent,468,11,96473,98476,0,101,9,98,3,138,1,7386,-150,1,High,MontyBuddy,337,3,0,2,2,2.292372881,2,1
45,2,24,Post Graduate,Pilot,Captive,533,5,72562,75236,7153,42,7,42,2,61,1,5643,-396,6,High,MagdalenaCarmen,145,1,1,0,0,0.593047035,0,1
44,1,16,Post Graduate,Doctor,Captive,209,0,93660,82451,0,65,11,65,0,79,1,6184,-97,1,High,MarcAlec,301,3,2,5,1,0.557413601,2,1
43,1,0,Graduate,Business,Independent,182,6,50208,87729,0,51,6,53,1,78,2,6580,-82,5,Low,MayraAbram,337,3,0,0,0,1.052631579,0,1
53,2,1,Post Graduate,Business,Captive,222,0,64307,98140,0,73,10,69,4,80,1,7361,50,6,Low,DwightNeva,629,3,0,5,0,0.369436202,2,2
56,1,15,Post Graduate,Teacher,Independent,620,4,86706,83224,0,43,6,41,3,49,1,6242,-573,1,High,KristopherRolando,133,7,0,4,1,0.745,1,1
41,1,16,Post Graduate,Consultant,Independent,486,11,79830,85149,0,116,6,99,2,137,0,6387,-82,6,High,DomenicHerman,467,10,0,4,1,2.745341615,2,2
22,1,2,Post Graduate,Engineer,Independent,628,0,56674,82774,0,75,10,73,2,80,1,6209,-425,2,Medium,AlphonsoTasha,561,8,0,1,0,0.498905908,2,1
41,1,10,Post Graduate,Driver,Independent,186,6,80500,92050,0,54,6,60,1,73,1,6904,-43,1,High,LoreneIsiah,225,10,0,0,0,0.466292135,2,1
24,1,2,Graduate,Engineer,Independent,156,0,51458,75664,9552,50,10,48,3,58,2,5675,-72,6,Low,BrandiSharlene,470,3,0,0,1,3.175141243,2,1
52,2,12,Graduate,Pilot,Independent,601,12,98760,80932,8728,124,10,121,0,144,1,6070,-156,5,High,DarrylErnie,492,8,0,0,0,3.144736842,2,2
57,1,23,Post Graduate,Engineer,Captive,571,0,85402,98467,0,61,6,67,3,75,1,7386,-329,2,High,RobertoJeremy,246,1,0,0,0,0.315789474,2,2
47,2,1,Post Graduate,Pilot,Independent,526,0,81588,83913,0,43,7,39,0,52,1,6294,-486,3,Low,JudyAlden,159,10,0,0,1,0.988814318,1,1
32,1,0,Graduate,Pilot,Captive,214,0,59215,93112,0,61,6,61,0,82,1,6984,-73,4,Low,JohnathanLydia,204,2,0,2,1,0.428571429,0,1
49,1,10,Graduate,Doctor,Independent,422,0,84743,93838,6089,54,10,58,0,75,0,7038,-136,5,Medium,KimberlyCasandra,630,2,0,2,0,0.212741752,0,2
26,1,5,Graduate,Software Developer,Captive,285,9,77595,96021,0,86,10,91,3,108,2,7202,70,2,Medium,LoreneIsiah,466,7,3,0,0,1.619760479,0,2
46,1,15,Post Graduate,Pilot,Independent,649,6,84653,91635,8515,53,11,53,4,84,0,6873,-379,2,Medium,MarionPablo,529,1,2,2,1,0.225921522,0,2
37,2,18,Graduate,Consultant,Captive,502,8,76837,84684,0,71,10,76,0,107,0,6352,-282,6,Low,BusterNadia,254,9,0,0,0,1.947791165,0,1
51,1,16,Post Graduate,Doctor,Captive,371,4,91952,83700,0,37,6,37,0,54,0,6278,-264,1,Low,JannaArden,128,7,0,4,1,1.452316076,0,1
36,1,1,Graduate,Pensioner,Independent,508,0,57176,95002,6420,108,10,108,4,122,1,7126,-234,4,High,MarionPablo,434,5,3,2,0,0.520737327,2,1
46,1,12,Graduate,Pensioner,Captive,635,0,90503,77086,0,82,6,74,0,108,1,5782,-454,2,Medium,JohnathanLydia,326,5,3,2,1,0.677835052,2,1
47,1,5,Graduate,Teacher,Independent,474,0,67439,95663,9303,79,7,87,2,115,1,7175,-235,2,High,RobertoJeremy,281,3,3,3,0,1.029227557,2,1
27,1,4,Graduate,Driver,Independent,237,8,57507,82322,9810,71,6,76,3,90,0,6175,45,3,Medium,VickieMai,467,10,0,0,2,1.0456942,3,2
47,1,2,Post Graduate,Teacher,Independent,429,9,73807,97699,9485,84,11,87,4,101,0,7328,-158,2,Medium,MyronPhil,346,10,3,5,0,0.571428571,2,1
59,1,28,Post Graduate,Driver,Captive,299,7,89828,77917,7901,66,11,66,2,75,0,5844,-167,4,Low,TwilaBradley,624,2,0,3,0,0.231543624,0,1
55,1,33,Graduate,Driver,Independent,557,8,51463,96744,5950,74,9,74,1,98,2,7256,-327,5,Medium,MayraAbram,545,4,0,0,3,0.642685851,0,1
33,1,12,Graduate,Pensioner,Captive,469,0,80738,78787,5819,114,11,122,2,157,2,5910,-170,3,Medium,BrandiSharlene,392,3,4,1,0,0.650529501,0,1
36,1,9,Graduate,Pensioner,Independent,641,0,92477,90440,6773,90,6,90,2,110,1,6783,-304,1,Medium,KristopherRolando,511,10,0,0,0,0.332568807,2,2
37,1,8,Post Graduate,Proffessor,Independent,392,7,78612,92527,0,67,10,72,1,93,2,6940,-99,3,Medium,MarionPablo,630,3,0,4,2,0.469387755,0,2
57,1,16,Graduate,Pilot,Independent,385,0,97803,95202,0,63,8,60,0,69,0,7141,-161,4,High,SpencerJarod,266,1,0,3,2,0.286995516,0,2
59,1,41,Graduate,Doctor,Independent,258,0,79794,86596,9380,62,11,66,2,93,1,6495,16,5,High,MarcAlec,400,3,0,1,1,0.356184799,0,2
51,1,19,Post Graduate,Pilot,Independent,171,6,57189,96039,0,51,6,51,4,68,0,7203,27,2,High,MarionPablo,271,3,2,1,2,1.413793103,0,2
48,1,22,Graduate,Pilot,Independent,150,5,76227,96909,8244,42,11,47,2,62,0,7269,-33,3,Low,PabloChelsea,201,10,0,1,1,0.985106383,2,1
41,1,16,Post Graduate,Driver,Independent,649,11,54971,88317,0,105,9,109,1,137,0,6624,-306,3,High,MiaMarissa,621,8,0,0,2,1.073619632,2,1
23,2,2,Post Graduate,Business,Captive,257,0,70934,90337,5227,74,6,76,0,81,1,6776,-60,3,Low,DarrylErnie,231,2,2,0,3,3.481481481,2,1
52,1,31,Graduate,Pensioner,Captive,342,7,83133,91757,6567,68,7,59,4,78,1,6882,-237,5,Low,TracieSasha,553,3,0,2,0,0.820512821,2,1
56,1,27,Post Graduate,Teacher,Independent,641,0,99351,88663,0,120,11,108,1,146,2,6650,-285,3,Medium,TwilaBradley,374,6,4,1,0,0.648681055,0,1
24,1,2,Graduate,Consultant,Captive,336,11,99572,84422,0,94,8,97,4,144,1,6332,-34,6,High,AnitaMarshall,455,6,0,0,2,2.417355372,0,1
28,1,5,Graduate,Consultant,Independent,607,6,96838,82185,6169,52,11,55,1,71,2,6164,-381,2,High,PabloChelsea,178,6,0,0,0,0.545994065,1,2
58,2,29,Graduate,Engineer,Captive,146,0,93877,94409,6732,41,6,48,1,57,2,7081,-41,1,Medium,MarionPablo,450,4,1,0,0,0.437869822,2,1
39,1,10,Graduate,Engineer,Captive,218,7,53021,90303,5764,61,9,68,0,89,2,6773,77,3,High,MayraAbram,348,7,0,5,1,0.775221239,2,2
53,2,9,Post Graduate,Architect,Captive,577,0,83658,85942,0,48,9,46,0,71,2,6446,-340,6,Low,PabloChelsea,343,2,0,5,0,0.299638989,0,2
41,1,19,Graduate,Proffessor,Independent,215,0,99798,87766,8071,67,6,65,4,84,2,6583,32,6,Medium,PollyGene,339,9,2,0,0,0.347098214,0,2
